,label
mouse1_lib3.final_cell_0169,12
mouse1_lib3.final_cell_0170,8
mouse1_lib3.final_cell_0171,11
mouse1_lib3.final_cell_0172,11
mouse1_lib3.final_cell_0173,3
mouse1_lib3.final_cell_0174,9
mouse1_lib3.final_cell_0175,9
mouse1_lib3.final_cell_0176,11
mouse1_lib3.final_cell_0177,3
mouse1_lib3.final_cell_0178,11
mouse1_lib3.final_cell_0179,9
mouse1_lib3.final_cell_0180,9
mouse1_lib3.final_cell_0181,11
mouse1_lib3.final_cell_0182,11
mouse1_lib3.final_cell_0183,11
mouse1_lib3.final_cell_0184,8
mouse1_lib3.final_cell_0185,9
mouse1_lib3.final_cell_0186,11
mouse1_lib3.final_cell_0187,6
mouse1_lib3.final_cell_0188,11
mouse1_lib3.final_cell_0189,11
mouse1_lib3.final_cell_0190,9
mouse1_lib3.final_cell_0191,11
mouse1_lib3.final_cell_0192,11
mouse1_lib3.final_cell_0193,11
mouse1_lib3.final_cell_0194,11
mouse1_lib3.final_cell_0195,11
mouse1_lib3.final_cell_0196,11
mouse1_lib3.final_cell_0197,9
mouse1_lib3.final_cell_0198,11
mouse1_lib3.final_cell_0199,11
mouse1_lib3.final_cell_0200,5
mouse1_lib3.final_cell_0201,11
mouse1_lib3.final_cell_0202,6
mouse1_lib3.final_cell_0203,12
mouse1_lib3.final_cell_0204,9
mouse1_lib3.final_cell_0205,11
mouse1_lib3.final_cell_0206,11
mouse1_lib3.final_cell_0207,9
mouse1_lib3.final_cell_0208,3
mouse1_lib3.final_cell_0209,9
mouse1_lib3.final_cell_0210,11
mouse1_lib3.final_cell_0211,11
mouse1_lib3.final_cell_0212,11
mouse1_lib3.final_cell_0213,11
mouse1_lib3.final_cell_0214,9
mouse1_lib3.final_cell_0215,9
mouse1_lib3.final_cell_0216,0
mouse1_lib3.final_cell_0217,9
mouse1_lib3.final_cell_0218,9
mouse1_lib3.final_cell_0219,11
mouse1_lib3.final_cell_0220,10
mouse1_lib3.final_cell_0221,9
mouse1_lib3.final_cell_0222,6
mouse1_lib3.final_cell_0223,3
mouse1_lib3.final_cell_0224,11
mouse1_lib3.final_cell_0225,6
mouse1_lib3.final_cell_0226,11
mouse1_lib3.final_cell_0227,11
mouse1_lib3.final_cell_0228,9
mouse1_lib3.final_cell_0229,9
mouse1_lib3.final_cell_0230,4
mouse1_lib3.final_cell_0231,9
mouse1_lib3.final_cell_0232,9
mouse1_lib3.final_cell_0233,11
mouse1_lib3.final_cell_0234,9
mouse1_lib3.final_cell_0235,9
mouse1_lib3.final_cell_0236,9
mouse1_lib3.final_cell_0237,9
mouse1_lib3.final_cell_0238,11
mouse1_lib3.final_cell_0239,9
mouse1_lib3.final_cell_0240,9
mouse1_lib3.final_cell_0241,9
mouse1_lib3.final_cell_0242,11
mouse1_lib3.final_cell_0243,9
mouse1_lib3.final_cell_0244,9
mouse1_lib3.final_cell_0245,3
mouse1_lib3.final_cell_0246,3
mouse1_lib3.final_cell_0247,9
mouse1_lib3.final_cell_0248,8
mouse1_lib3.final_cell_0249,9
mouse1_lib3.final_cell_0250,4
mouse1_lib3.final_cell_0251,9
mouse1_lib3.final_cell_0252,9
mouse1_lib3.final_cell_0253,8
mouse1_lib3.final_cell_0254,9
